"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35411","Successful login with valid credentials","","Sun Oct 05 10:04:17 UTC 2025","passed","Sun Oct 05 10:04:53 UTC 2025","","Login","Successful login with valid credentials",""
"","1113","Unsuccessful login with invalid credentials","","Sun Oct 05 10:04:53 UTC 2025","passed","Sun Oct 05 10:04:54 UTC 2025","","Login","Unsuccessful login with invalid credentials",""
